Files will be save in ../data/setup4/2026_06_09/plus0mm\3
"TUE,PYNQRYB,February 2025,1.4"
Motor stopped at zero point
[3.5e+00 1.8e+04 1.0e+03] R^2: -6794.887692662569
[3.5e+00 1.8e+04 1.0e+03] R^2: -6819.825343662839
[3.5e+00 1.8e+04 1.0e+03] R^2: -6834.835119076169
[3.5e+00 1.8e+04 1.0e+03] R^2: -6820.536979607826
[3.5e+00 1.8e+04 1.0e+03] R^2: -6795.6331848070495
[3.5e+00 1.8e+04 1.0e+03] R^2: -6785.56271953081
[3.5e+00 1.8e+04 1.0e+03] R^2: -6803.603823620724
[3.5e+00 1.8e+04 1.0e+03] R^2: -6797.314363750903
[3.5e+00 1.8e+04 1.0e+03] R^2: -6801.875677257213
[3.5e+00 1.8e+04 1.0e+03] R^2: -6775.708826202548
[3.5e+00 1.8e+04 1.0e+03] R^2: -6789.418614397506
[3.5e+00 1.8e+04 1.0e+03] R^2: -6781.3291908843485
[3.5e+00 1.8e+04 1.0e+03] R^2: -6749.489807725918
[3.5e+00 1.8e+04 1.0e+03] R^2: -6744.596591143375
[3.5e+00 1.8e+04 1.0e+03] R^2: -6762.407882957323
[3.5e+00 1.8e+04 1.0e+03] R^2: -6778.498083693871
[3.5e+00 1.8e+04 1.0e+03] R^2: -6771.598167244187
[3.5e+00 1.8e+04 1.0e+03] R^2: -6743.065150278609
[3.5e+00 1.8e+04 1.0e+03] R^2: -6756.673776729831
[3.5e+00 1.8e+04 1.0e+03] R^2: -6759.87636194927
[3.5e+00 1.8e+04 1.0e+03] R^2: -6770.240339303564
[3.5e+00 1.8e+04 1.0e+03] R^2: -6734.199795092199
[3.5e+00 1.8e+04 1.0e+03] R^2: -6717.963398071192
[3.5e+00 1.8e+04 1.0e+03] R^2: -6683.964476505219
[3.5e+00 1.8e+04 1.0e+03] R^2: -6684.090445961442
[3.5e+00 1.8e+04 1.0e+03] R^2: -6672.9675864821
[3.5e+00 1.8e+04 1.0e+03] R^2: -6672.988147272668
[3.5e+00 1.8e+04 1.0e+03] R^2: -6679.377930019447
[3.5e+00 1.8e+04 1.0e+03] R^2: -6626.833751246969
[3.5e+00 1.8e+04 1.0e+03] R^2: -6606.268230510899
[3.5e+00 1.8e+04 1.0e+03] R^2: -6603.100108157214
[3.5e+00 1.8e+04 1.0e+03] R^2: -6602.410258488791
[3.5e+00 1.8e+04 1.0e+03] R^2: -6583.352456043089
[3.5e+00 1.8e+04 1.0e+03] R^2: -6551.754067606571
[3.5e+00 1.8e+04 1.0e+03] R^2: -6562.15569338958
[3.5e+00 1.8e+04 1.0e+03] R^2: -6545.675216417961
[3.5e+00 1.8e+04 1.0e+03] R^2: -6548.887105859356
[3.5e+00 1.8e+04 1.0e+03] R^2: -6515.599851621958
[3.5e+00 1.8e+04 1.0e+03] R^2: -6525.526777178924
[3.5e+00 1.8e+04 1.0e+03] R^2: -6546.67867569518
[3.5e+00 1.8e+04 1.0e+03] R^2: -6537.6117672780065
[3.5e+00 1.8e+04 1.0e+03] R^2: -6527.992939535443
[3.5e+00 1.8e+04 1.0e+03] R^2: -6523.363697533345
[3.5e+00 1.8e+04 1.0e+03] R^2: -6527.223856020127
[3.5e+00 1.8e+04 1.0e+03] R^2: -6552.344769315951
[3.5e+00 1.8e+04 1.0e+03] R^2: -6553.02784189811
[3.5e+00 1.8e+04 1.0e+03] R^2: -6571.036917474855
[3.5e+00 1.8e+04 1.0e+03] R^2: -6597.092078490079
[3.5e+00 1.8e+04 1.0e+03] R^2: -6614.501169412511
[3.5e+00 1.8e+04 1.0e+03] R^2: -6624.542843151296
[3.5e+00 1.8e+04 1.0e+03] R^2: -6649.129872309355
[3.5e+00 1.8e+04 1.0e+03] R^2: -6669.429910181174
[3.5e+00 1.8e+04 1.0e+03] R^2: -6678.265784270427
[3.5e+00 1.8e+04 1.0e+03] R^2: -6692.825040418287
[3.5e+00 1.8e+04 1.0e+03] R^2: -6708.578050138503
[3.5e+00 1.8e+04 1.0e+03] R^2: -6724.632735379151
[3.5e+00 1.8e+04 1.0e+03] R^2: -6744.198700566005
[3.5e+00 1.8e+04 1.0e+03] R^2: -6759.005527599165
[3.5e+00 1.8e+04 1.0e+03] R^2: -6784.98161471073
[3.5e+00 1.8e+04 1.0e+03] R^2: -6783.254158135448
[3.5e+00 1.8e+04 1.0e+03] R^2: -6807.608665478042
[3.5e+00 1.8e+04 1.0e+03] R^2: -6828.7807004230735
[3.5e+00 1.8e+04 1.0e+03] R^2: -6845.270525048128
[3.5e+00 1.8e+04 1.0e+03] R^2: -6861.288053375973
[3.5e+00 1.8e+04 1.0e+03] R^2: -6886.778235416495
